n_iter	likelihood	edges
15	[0.25, 0.2, 0.25, 0.2, 0.25, 0.2, 0.2, 0.2, 0.25, 0.2, 0.25, 0.25, 0.2, 0.2, 0.2]	1-2,1-4,2-3,3-5,5-6,None-1
10	[0.16666666666666669, 0.2, 0.2, 0.2, 0.2, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.3333333333333333]	1-2,2-3,3-4,3-5,4-6,None-1
10	[0.2, 0.25, 0.25, 0.25, 0.2, 0.25, 0.25, 0.25, 0.2, 0.2]	1-2,1-4,2-3,2-5,5-6,None-1
9	[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]	1-2,1-6,2-3,3-4,3-5,None-1
9	[0.2, 0.25, 0.25, 0.25, 0.25, 0.2, 0.2, 0.25, 0.2]	1-2,1-5,2-3,3-4,5-6,None-1
8	[0.25, 0.25, 0.25, 0.25, 0.2, 0.25, 0.25, 0.25]	1-2,1-3,2-4,3-5,5-6,None-1
8	[0.2, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.2, 0.2, 0.2]	1-2,2-3,3-4,3-5,5-6,None-1
8	[0.25, 0.25, 0.25, 0.16666666666666669, 0.16666666666666669, 0.2, 0.25, 0.16666666666666669]	1-2,1-5,2-3,3-4,4-6,None-1
8	[0.25, 0.5, 0.25, 0.5, 0.2, 0.2, 0.2, 0.2]	1-2,1-3,2-4,3-5,3-6,None-1
7	[0.2, 0.3333333333333333, 0.2, 0.2, 0.25, 0.2, 0.5]	1-2,1-4,2-3,4-5,4-6,None-1
7	[0.25, 0.2, 0.25, 0.25, 0.25, 0.2, 0.25]	1-2,1-3,2-5,3-4,5-6,None-1
7	[0.16666666666666669, 0.25, 0.2, 0.25, 0.2, 0.2, 0.16666666666666669]	1-2,2-3,2-4,3-5,3-6,None-1
7	[0.25, 0.25, 0.25, 0.25, 0.16666666666666669, 0.2, 0.25]	1-2,2-3,3-4,4-5,5-6,None-1
6	[0.2, 0.2, 0.5, 0.3333333333333333, 0.2, 0.3333333333333333]	1-2,1-3,3-4,3-6,4-5,None-1
6	[0.16666666666666669, 0.3333333333333333, 0.2, 0.16666666666666669, 0.3333333333333333, 0.2]	1-2,2-3,3-4,3-6,4-5,None-1
6	[0.25, 0.5, 0.25, 0.5, 0.25, 0.25]	1-2,1-3,2-6,3-4,3-5,None-1
6	[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]	1-2,1-3,2-4,3-5,4-6,None-1
6	[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]	1-2,1-5,2-3,3-4,3-6,None-1
6	[0.25, 0.25, 0.25, 0.25, 0.25, 0.25]	1-2,1-5,2-3,2-4,5-6,None-1
5	[0.25, 0.25, 0.2, 0.25, 0.25]	1-2,1-4,2-3,2-5,4-6,None-1
5	[0.2, 0.2, 0.25, 0.2, 0.2]	1-2,2-3,2-6,3-4,3-5,None-1
5	[0.2, 0.16666666666666669, 0.25, 0.25, 0.16666666666666669]	1-2,1-4,2-3,3-5,3-6,None-1
5	[0.2, 0.25, 0.25, 0.2, 0.2]	1-2,1-6,2-3,2-4,3-5,None-1
5	[0.25, 0.2, 0.25, 0.25, 0.2]	1-2,1-3,2-4,2-5,5-6,None-1
5	[0.2, 0.2, 0.25, 0.25, 0.2]	1-2,1-4,2-3,4-5,5-6,None-1
5	[0.16666666666666669, 0.16666666666666669, 0.2, 0.16666666666666669, 0.2]	1-2,2-3,2-5,3-4,3-6,None-1
5	[0.25, 0.25, 0.2, 0.25, 0.25]	1-2,1-6,2-3,2-4,4-5,None-1
4	[0.16666666666666669, 0.25, 0.16666666666666669, 0.16666666666666669]	1-2,2-3,3-4,4-5,4-6,None-1
4	[0.2, 0.2, 0.2, 0.25]	1-2,2-3,2-4,3-5,5-6,None-1
4	[0.2, 0.2, 0.2, 0.16666666666666669]	1-2,1-4,2-3,2-5,3-6,None-1
4	[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]	1-2,2-3,2-5,3-4,4-6,None-1
3	[0.25, 0.25, 0.2]	1-2,1-3,2-4,2-5,3-6,None-1
3	[0.25, 0.2, 0.25]	1-2,1-4,2-3,2-6,4-5,None-1
3	[0.25, 0.2, 0.2]	1-2,1-3,2-4,2-6,3-5,None-1
3	[0.2, 0.2, 0.25]	1-2,1-4,2-3,3-5,4-6,None-1
3	[0.2, 0.16666666666666669, 0.3333333333333333]	1-2,1-3,2-4,2-5,2-6,None-1
3	[0.2, 0.2, 0.2]	1-2,1-4,2-3,2-6,3-5,None-1
2	[0.25, 0.25]	1-2,1-3,2-4,2-5,4-6,None-1
2	[0.25, 0.25]	1-2,1-5,2-3,2-4,4-6,None-1
2	[0.16666666666666669, 0.25]	1-2,2-3,2-6,3-4,4-5,None-1
2	[0.16666666666666669, 0.25]	1-2,1-5,2-3,2-6,3-4,None-1
2	[0.2, 0.2]	1-2,2-3,2-4,3-5,4-6,None-1
2	[0.2, 0.25]	1-2,1-4,2-3,3-6,4-5,None-1
2	[0.2, 0.2]	1-2,2-3,2-4,4-5,5-6,None-1
2	[0.2, 0.2]	1-2,2-3,2-4,4-5,4-6,None-1
2	[0.2, 0.2]	1-2,1-6,2-3,2-5,3-4,None-1
1	[0.25]	1-2,1-3,2-4,4-5,5-6,None-1
1	[0.16666666666666669]	1-2,2-3,2-5,3-4,5-6,None-1
1	[0.16666666666666669]	1-2,2-3,2-5,2-6,3-4,None-1
1	[0.3333333333333333]	1-2,1-3,3-4,4-5,5-6,None-1
1	[0.2]	1-2,1-5,2-3,2-4,3-6,None-1
1	[0.2]	1-2,1-3,2-5,2-6,3-4,None-1
1	[0.2]	1-2,1-3,2-6,3-4,4-5,None-1
1	[0.25]	1-2,1-3,2-4,4-5,4-6,None-1
